,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,Person_id
217, Wi fi could ve been made complimentary since it was too slow for 10 Euros ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,119
218, The breakfast buffet was really nice which includes an espresso machine Location wise was fantastic since it s right next to the Wien Mitte L,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6247350191635844,False,120
219,strasse train subway station Shops were within walking distance Would definitely stay here next time ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,120
220, The rooms were big bathroom was huge staff were helpful even though we booked 5 mins before arriving they informed me I had accidentally booked a twin room instead of a double for my husb,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,121
221, ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,121
222, I but 2 seconds in his computer ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.7821561944059581,False,121
223, he found a double for us Absolutely superb service Good breakfast Great location Close to train station ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7071367979459727,False,121
224, 3 min walk to train station Would definitely go back again ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,121
225, The view was amazing ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,122
226, The staff were fabulous ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,123
227, so h,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,123
228,y to all services ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.5468215391258735,False,123
229, Defenetely need a refurbishment ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.830947331089905,False,124
230, The view compansate all the flaws,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,125
231, Hotel building is wonderful Very nice Room Bar superb Best breakfast posible Room Service perfect Location next to Passeig de Gracia ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.7626476559146107,False,126
232, Rambla catalunya could not be better ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7509807964281645,False,126
233, Due to the location ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,127
234, it being a very touristy area we had heard that pickpocketing was very common in that area We didn t experience this ourselves however ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,127
235, We had such a great experience here The staff was so welcoming ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.6764217064301644,False,128
236, accommodating to us My husb,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,0.47997314308336564,False,128
237, ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,128
238, I were traveling with our nine month old ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,128
239, they were really wonderful in accomedating the baby One day they even surprised us with a teddy bear ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,128
240, personalized note for her Another thing we appreciated was the staff keeping us informed on the current happenings of the city There was a taxi strike the day we were leaving ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.70137201430266,False,128
241, they told us about it the day before so we could be properly prepared When we got to the airport shuttle line which was very long due to the no taxis there were many people who didn t know about the strike ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.8431233449644969,False,128
242, missed their flights We were very happy that they provided us with this information ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.8431233449644969,False,128
243, Bed a bit hard for us,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,0.7002068568974944,False,129
244, Great location,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,130
245, We booked 2 superior rooms ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,131
246, one double There were 4 adults ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,131
247, 3 teenagers Upon arrival we were told that the rooms were not made up for families ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,131
248, had to wait whilst they put extra beds in 2 of the rooms One room was large enough for this but the other was a st,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,131
249,ard double ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,0.47997314308336564,False,131
250, the additional bed made it rather cramped We were informed that this always happens with bookings made on Booking com,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,131
251, Nothing,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,132
252, Excellent stay loved it Can t wait to come back A ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.8004562290888705,False,133
253, Long wait for check in arrived at 6 30pm ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,134
254, gained entry at 9pm,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,134
255, Check in seemed unnecessarily time consuming leading to queues Took 25 mins between arriving at hotel ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,135
256, getting to room ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,135
257, The views from the Sky Lounge were amazing ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.8061875180973791,False,136
258, Room quite small at front of hotel ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,137
259, at times quite noisey ,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,137
260, Location is great next to railway ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,138
261, metro links Very generous continental breakfast ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7071367979459727,False,138
262, comfortable room ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,138
263, Free coffee if wanted during breakfast without eating the large buffet Inner garden Blue lights in our hall Friendly staff Newer room Great shower Comp bikes though we didn t use them No time So close to the market ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.1917122581880682,False,139
264, Beds were really comfy ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,1.0,False,140
265, hotel was spotless,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,1.0,False,140
266, Only one person was at the reception had to wait around 8 11mins to be spoken to location is the middle of a dual carriage ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.796773193084959,False,141
267, Clean was really spacious ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,1.0,False,142
268, lovely room,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,142
269, 9 50 for a Bailey s seems a little pricey ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,143
270, Location accommodation ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,144
271, breakfast all excellent Check in ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,144
272, check out very efficient Very pleasant lounge ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.8061875180973791,False,144
273, foyer area ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,144
274, Semi transparent wall of bathroom It cause uncomfortable when you travel with friends,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,1.0,False,145
275, Easy to reach from ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,0.6573224009096907,False,146
