Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.41318793141737015
100% Corpus,9,0.61,0.31,0.4137344439943804
100% Corpus,9,0.61,0.61,0.448346547710755
100% Corpus,9,0.61,0.9099999999999999,0.48163280844975304
100% Corpus,9,0.61,symmetric,0.410880564399951
100% Corpus,9,0.9099999999999999,0.01,0.44905678822616074
100% Corpus,9,0.9099999999999999,0.31,0.4188318059121993
100% Corpus,9,0.9099999999999999,0.61,0.48368895874201345
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.48005828828081815
100% Corpus,9,0.9099999999999999,symmetric,0.4488350659475187
100% Corpus,9,symmetric,0.01,0.3898335480786491
100% Corpus,9,symmetric,0.31,0.3797402303776514
100% Corpus,9,symmetric,0.61,0.37993206847940275
100% Corpus,9,symmetric,0.9099999999999999,0.3757370317369264
100% Corpus,9,symmetric,symmetric,0.399460619858482
100% Corpus,9,asymmetric,0.01,0.3930853756016662
100% Corpus,9,asymmetric,0.31,0.5300029184213643
100% Corpus,9,asymmetric,0.61,0.4799671322669593
100% Corpus,9,asymmetric,0.9099999999999999,0.5136100638802593
100% Corpus,9,asymmetric,symmetric,0.41955836918729794
100% Corpus,10,0.01,0.01,0.37829610783263135
100% Corpus,10,0.01,0.31,0.38686028697819014
100% Corpus,10,0.01,0.61,0.45954243991574517
100% Corpus,10,0.01,0.9099999999999999,0.4005602356906059
100% Corpus,10,0.01,symmetric,0.3788586935698915
100% Corpus,10,0.31,0.01,0.40970232159742836
100% Corpus,10,0.31,0.31,0.4244333731906561
100% Corpus,10,0.31,0.61,0.4745561136916388
100% Corpus,10,0.31,0.9099999999999999,0.4790439129184099
100% Corpus,10,0.31,symmetric,0.4154314110358861
100% Corpus,10,0.61,0.01,0.4275527299585183
100% Corpus,10,0.61,0.31,0.43997181412952135
100% Corpus,10,0.61,0.61,0.49432575784703287
100% Corpus,10,0.61,0.9099999999999999,0.5238212681676503
100% Corpus,10,0.61,symmetric,0.43989402821774704
100% Corpus,10,0.9099999999999999,0.01,0.43698658793653655
100% Corpus,10,0.9099999999999999,0.31,0.4157821280524402
100% Corpus,10,0.9099999999999999,0.61,0.5010369103153252
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.47402505995429
100% Corpus,10,0.9099999999999999,symmetric,0.44925570016368477
100% Corpus,10,symmetric,0.01,0.36622395204338304
100% Corpus,10,symmetric,0.31,0.3975272499166618
100% Corpus,10,symmetric,0.61,0.453627300833618
100% Corpus,10,symmetric,0.9099999999999999,0.4734626829831125
100% Corpus,10,symmetric,symmetric,0.36931239380722924
100% Corpus,10,asymmetric,0.01,0.41579607062412033
100% Corpus,10,asymmetric,0.31,0.422459994368246
100% Corpus,10,asymmetric,0.61,0.47561240452510845
100% Corpus,10,asymmetric,0.9099999999999999,0.49856744416402876
100% Corpus,10,asymmetric,symmetric,0.4149644367625534
